"","Glycerol7a","Glycerol7b","Glycerol5a","Glycerol5b","logFC","logCPM","PValue","FDR_gly7_vs_gly5"
"MT0001",179.079112748719,252.184896984537,76.4878975459907,66.8708856514113,-1.5871493675106,7.44113771079939,0.000875635577530584,0.0297132339308711
"MT0002",143.263290198975,155.761259902214,76.4878975459907,80.2450627816935,-0.926742312823963,7.11987462312837,0.0660165391150365,0.509127551659903
"MT0003",44.7697781871798,44.5032171149183,25.4959658486636,0,-1.68124747133746,5.69432965716182,0.146129175969763,0.725150771560258
"MT0004",17.9079112748719,14.8344057049728,38.2439487729954,13.3741771302823,0.646429185812779,5.32965405387258,0.726622713122023,1
"MT0005",304.434491672823,207.681679869619,280.455624335299,294.23189686621,0.183739245661991,8.17611947262576,0.66766164827946,1
"MT0006",196.987024023591,341.191331214373,242.211675562304,173.864302693669,-0.38472549191527,8.040708294471,0.368783139256275,0.988439517996765
"MT0007",35.8158225497438,59.337622819891,63.739914621659,80.2450627816935,0.548890879438606,6.28723284554832,0.405173097258019,1
"MT0010",17.9079112748719,14.8344057049728,12.7479829243318,0,-1.16812229909027,5.01686438152122,0.625041295817921,1
"MT0011",170.125157111283,155.761259902214,127.479829243318,120.36759417254,-0.385456322169043,7.37336728535206,0.452576024755306,1
"MT0012",44.7697781871798,51.9204199674046,0,13.3741771302823,-2.6825267578151,5.68704272707721,0.038636344301432,0.388387185505158
"MT0013",8.95395563743596,29.6688114099455,0,26.7483542605645,-0.578811973925031,5.22126795135865,0.999999999999999,1
"MT0014",35.8158225497438,66.7548256723774,12.7479829243318,26.7483542605645,-1.37188654860551,5.88188567322063,0.185390533914653,0.794881434822995
"MT0015",71.6316450994876,29.6688114099455,63.739914621659,53.496708521129,0.260854361956286,6.19376688857357,1,1
"MT0016",26.8618669123079,51.9204199674046,0,26.7483542605645,-1.54061700732152,5.62280909832639,0.247391475042095,0.879464115648487
"MT0017",71.6316450994876,59.337622819891,50.9919316973272,13.3741771302823,-0.96600174861586,6.16278900293394,0.268951169617804,0.906871589223844
"MT0018",152.217245836411,118.675245639782,101.983863394654,93.6192399119758,-0.448900170286835,7.1169569066617,0.395283111686625,1
"MT0019",89.5395563743596,66.7548256723774,50.9919316973272,40.1225313908468,-0.738816782790908,6.39571601970045,0.307777927538569,0.952747833032078
"MT0020",35.8158225497438,29.6688114099455,101.983863394654,13.3741771302823,0.820024338704566,5.98231114121333,0.419586489906283,1
"MT0021",259.664713485643,89.0064342298365,63.739914621659,80.2450627816935,-1.23630539247244,7.20659545381945,0.052007853083115,0.471066978999607
"MT0022",62.6776894620517,96.4236370823229,89.2358804703225,13.3741771302823,-0.619215551446286,6.46972724358243,0.384329234395288,0.993641045839556
"MT0023",465.60569314667,504.369793969074,344.195538956958,334.354428257056,-0.517411090295296,8.77444699630031,0.0572640984516224,0.482914758283872
"MT0024",35.8158225497438,7.41720285248638,25.4959658486636,0,-0.617154328053918,5.22993480403138,1,1
"MT0026",80.5856007369236,7.41720285248638,25.4959658486636,0,-1.62820001956553,5.64002577529568,0.30010448274616,0.946246322438095
"MT0027",26.8618669123079,44.5032171149183,50.9919316973272,26.7483542605645,0.0978818419609149,5.84440008760677,1,1
"MT0028",35.8158225497438,22.2516085574591,12.7479829243318,13.3741771302823,-1.05149304170627,5.4026989116359,0.507920883619586,1
"MT0029",17.9079112748719,44.5032171149183,12.7479829243318,40.1225313908468,-0.294088306141942,5.63628885403425,1,1
"MT0030",8.95395563743596,0,0,13.3741771302823,0.551263899113471,4.64886753192937,1,1
"MT0032",26.8618669123079,7.41720285248638,0,0,-3.80454354097182,4.9004427964595,0.250041299228717,0.879464115648487
"MT0033",17.9079112748719,0,0,13.3741771302823,-0.26786734222889,4.78532224149096,1,1
"MT0034",8.95395563743596,14.8344057049728,0,0,-3.4234735159683,4.77236100439004,0.500027532819042,1
"MT0035",8.95395563743596,0,25.4959658486636,0,1.42556384444078,4.79008732030746,0.999999999999999,1
"MT0036",8.95395563743596,7.41720285248638,0,0,-2.90423656039059,4.63927394748216,0.500027532819042,1
"MT0037",53.7237338246157,111.258042787296,25.4959658486636,13.3741771302823,-2.04200243376725,6.27522660952865,0.0126719511274982,0.217630341221136
"MT0039",17.9079112748719,7.41720285248638,0,0,-3.42350333600406,4.77584225603417,0.500027532819042,1
"MT0040",71.6316450994876,51.9204199674046,12.7479829243318,40.1225313908468,-1.18281858951678,6.06055298583856,0.239138786587563,0.870328392861579
"MT0041",26.8618669123079,103.840839934809,25.4959658486636,66.8708856514113,-0.545499191154798,6.29771957054655,0.601717607873018,1
"MT0042",44.7697781871798,44.5032171149183,63.739914621659,80.2450627816935,0.671096556821828,6.24639847318518,0.286572449965133,0.932472729886546
"MT0043",17.9079112748719,51.9204199674046,25.4959658486636,53.496708521129,0.105748994600343,5.84259631840179,1,1
"MT0044",26.8618669123079,51.9204199674046,0,13.3741771302823,-2.42347189410983,5.54401170818275,0.116161520342165,0.669538985181506
"MT0046",179.079112748719,178.012868459673,191.219743864977,80.2450627816935,-0.380346321386845,7.49308832096423,0.431888674643135,1
"MT0047",71.6316450994876,51.9204199674046,89.2358804703225,53.496708521129,0.233793701116316,6.41903222857353,0.845903915386662,1
"MT0048",26.8618669123079,22.2516085574591,0,0,-4.35464409920133,5.11433836953647,0.0625344188663191,0.496236379556114
"MT0049",17.9079112748719,14.8344057049728,0,13.3741771302823,-1.168114682122,5.01747606620322,0.625041295817921,1
"MT0050",17.9079112748719,22.2516085574591,25.4959658486636,26.7483542605645,0.34532207279857,5.41344970955166,0.999999999999966,1
"MT0051",107.447467649231,178.012868459673,50.9919316973272,120.36759417254,-0.763485633386477,7.11884352893707,0.181979750287537,0.78593193972666
"MT0052",340.250314222566,333.774128361887,293.203607259631,294.23189686621,-0.196615883446326,8.39762268681756,0.510685551807866,1
"MT0053",188.033068386155,118.675245639782,178.471760940645,200.612656954234,0.326816582791135,7.5570507735056,0.496084120181283,1
"MT0054",35.8158225497438,22.2516085574591,0,26.7483542605645,-1.05207354390053,5.40329616102032,0.511796991141447,1
"MT0055",35.8158225497438,7.41720285248638,12.7479829243318,13.3741771302823,-0.59563288259497,5.23054139577709,0.999999999999999,1
"MT0056",268.618669123079,237.350491279564,242.211675562304,254.109365475363,-0.021563313826461,8.07940154686341,1,1
"MT0057",71.6316450994876,37.0860142624319,76.4878975459907,40.1225313908468,0.147564883228705,6.2383226487456,0.999999999999999,1
"MT0058",35.8158225497438,29.6688114099455,12.7479829243318,13.3741771302823,-1.23649587520081,5.48110605107074,0.507920883619586,1
"MT0059",44.7697781871798,7.41720285248638,25.4959658486636,26.7483542605645,0.0798922488717944,5.50124920690318,1,1
"MT0060",62.6776894620517,66.7548256723774,25.4959658486636,40.1225313908468,-0.96527584972207,6.16116254744803,0.26344046610853,0.904360800365459
"MT0061",17.9079112748719,22.2516085574591,38.2439487729954,26.7483542605645,0.653993020510945,5.49995478420386,0.75397398416932,1
"MT0062",143.263290198975,133.509651344755,50.9919316973272,26.7483542605645,-1.78427501161341,6.85824462931936,0.00274115099949754,0.0724302008687136
"MT0063",17.9079112748719,14.8344057049728,12.7479829243318,13.3741771302823,-0.289063247032623,5.12867864005584,1,1
"MT0064",152.217245836411,267.01930268951,76.4878975459907,93.6192399119758,-1.31478327085914,7.46442040564063,0.00926397312826396,0.176510889069543
"MT0065",0,14.8344057049728,12.7479829243318,0,-0.267815312674358,4.77771316669194,1,1
"MT0066",80.5856007369236,66.7548256723774,38.2439487729954,93.6192399119758,-0.159337348032224,6.49171238704448,1,1
"MT0066.1",17.9079112748719,37.0860142624319,76.4878975459907,26.7483542605645,0.85343158900706,5.85702397179304,0.330439979151003,0.988439517996765
"MT0067",71.6316450994876,89.0064342298365,12.7479829243318,40.1225313908468,-1.5903848819367,6.28861530152864,0.0526198870732089,0.471066978999607
"MT0068",80.5856007369236,44.5032171149183,89.2358804703225,66.8708856514113,0.356400375806571,6.4673523258245,0.704792044732612,1
"MT0069",8.95395563743596,0,25.4959658486636,26.7483542605645,2.36581538148375,5.04076168441705,0.218827431789858,0.829449084539641
"MT0070",89.5395563743596,59.337622819891,280.455624335299,227.361011214798,1.78126448373552,7.43054810321402,4.16108671216578e-05,0.00235332570721376
"MT0071",26.8618669123079,14.8344057049728,50.9919316973272,26.7483542605645,0.908090149019667,5.58506122780431,0.54895230431052,1
"MT0072",71.6316450994876,118.675245639782,114.731846318986,173.864302693669,0.560266973028358,7.09552003011198,0.267677516865824,0.905731237030322
"MT0075",8.95395563743596,7.41720285248638,12.7479829243318,13.3741771302823,0.611213916429984,4.91169298991434,0.999999999999973,1
"MT0076",0,14.8344057049728,38.2439487729954,0,1.16947584171681,5.02740267668524,0.448982931084765,1
"MT0078",53.7237338246157,22.2516085574591,12.7479829243318,13.3741771302823,-1.4073149512295,5.56136225652168,0.361591671224497,0.988439517996765
"MT0079",44.7697781871798,29.6688114099455,12.7479829243318,53.496708521129,-0.157539070307428,5.78350712777302,1,1
"MT0080",35.8158225497438,22.2516085574591,25.4959658486636,13.3741771302823,-0.509212365286989,5.48927852762173,0.75397398416932,1
"MT0081",35.8158225497438,7.41720285248638,12.7479829243318,53.496708521129,0.639475482311649,5.50750906175865,0.780421566170936,1
"MT0082",8.95395563743596,14.8344057049728,12.7479829243318,26.7483542605645,0.634265252564519,5.13451624517481,0.68755161550945,1
"MT0083",8.95395563743596,14.8344057049728,63.739914621659,120.36759417254,2.78893914453522,6.01677562111599,0.00112876119142306,0.0353878785348012
"MT0084",8.95395563743596,7.41720285248638,12.7479829243318,13.3741771302823,0.611213916429984,4.91169298991434,0.999999999999973,1
