"","Glycerol7a","Glycerol7b","Pyruvate5a","Pyruvate5b","logFC","logCPM","PValue","FDR_gly7_vs_pyr5"
"MT0001",220.42612942445,317.224137488276,113.848437005312,269.992139329509,-0.503348206080299,7.97680815962104,0.249672967175593,0.937144677480333
"MT0002",176.34090353956,195.932555507465,144.898010734034,75.5977990122626,-0.745471240457334,7.40696699305272,0.0798076602309786,0.69445997422947
"MT0003",55.1065323561126,55.9807301449899,62.0991474574431,21.5993711463607,-0.384329225038575,6.12189710908555,0.647727554455591,1
"MT0004",22.042612942445,18.6602433816633,20.6997158191477,32.3990567195411,0.366244967175526,5.45773312552481,1,1
"MT0005",374.724420021566,261.243407343286,403.64445847338,323.990567195411,0.211967291221981,8.49457136005091,0.548751370826669,1
"MT0006",242.468742366895,429.185597778256,372.594884744659,345.589938341772,0.0765634581549484,8.52929019364755,0.83850974329162,1
"MT0007",44.0852258848901,74.6409735266532,41.3994316382954,118.796541304984,0.388014489582225,6.49823497472396,0.730508360437257,1
"MT0009",0,9.33012169083165,0,10.7996855731804,0.051885523120588,4.69010317243339,1,1
"MT0010",22.042612942445,18.6602433816633,20.6997158191477,10.7996855731804,-0.326588764941265,5.27575355037206,1,1
"MT0011",209.404822953228,195.932555507465,269.09630564892,280.791824902689,0.44062724154351,8.01668030954784,0.200181839447711,0.937144677480333
"MT0012",55.1065323561126,65.3108518358216,10.3498579095738,43.1987422927215,-1.1597409266165,6.01038272203964,0.143593572217212,0.841263967725209
"MT0013",11.0213064712225,37.3204867633266,51.7492895478692,64.7981134390822,1.16213983005009,5.95356630626958,0.210254182439619,0.937144677480333
"MT0014",44.0852258848901,83.9710952174849,103.498579095738,43.1987422927215,0.171619896409924,6.49320565137068,0.855585724017644,1
"MT0015",88.1704517697802,37.3204867633266,62.0991474574431,21.5993711463607,-0.51705032178282,6.17977015203479,0.535743237089588,1
"MT0016",33.0639194136676,65.3108518358216,0,64.7981134390822,-0.627230843781079,5.95084601054439,0.546921827809562,1
"MT0017",88.1704517697802,74.6409735266532,93.1487211861646,86.3974845854429,0.150015192282682,6.72828939650391,0.999999999999998,1
"MT0018",187.362210010783,149.281947053306,93.1487211861646,161.995283597705,-0.39214349746685,7.39404667035768,0.457628417804329,1
