"","Pyruvate7a","Pyruvate7b","Pyruvate5a","Pyruvate5b","logFC","logCPM","PValue","FDR_pyr7_vs_pyr5"
"MT0001",249.643059505949,280.061488487816,110.794834678853,274.657349754938,-0.476839773362908,7.96068786487992,0.270057133068409,1
"MT0002",162.81069098214,106.230219771241,141.011607773085,76.9040579313826,-0.269288140642625,7.15464755480044,0.58405343869402,1
"MT0003",21.7080921309521,9.65729270647641,60.4335461884651,21.972587980395,1.37778937019441,5.62105959818011,0.244119636227178,1
"MT0004",10.854046065476,19.3145854129528,20.144515396155,32.9588819705925,0.729570460315987,5.37384133452301,0.726602558694758,1
"MT0005",227.934967374997,299.376073900769,392.818050225023,329.588819705925,0.447066145950508,8.38177298013029,0.136238066203623,0.906935981805662
"MT0006",303.913289833329,212.460439542481,362.601277130791,351.56140768632,0.479290092217049,8.35587543587317,0.132879602843931,0.897670111123982
"MT0007",86.8323685238083,48.2864635323821,40.2890307923101,120.849233892173,0.244417633366545,6.55053961158727,0.866095770820388,1
"MT0010",10.854046065476,48.2864635323821,20.144515396155,10.9862939901975,-0.899679088298066,5.45641209143625,0.533370855963852,1
"MT0011",282.205197702377,318.690659313722,261.878700150016,285.643643745135,-0.140456976747023,8.26678667454822,0.721453451176078,1
"MT0012",10.854046065476,38.6291708259056,10.0722576980775,43.94517596079,0.0512383019849342,5.54296760537249,1,1
"MT0013",32.5621381964281,38.6291708259056,50.3612884903876,65.9177639411851,0.672927081148499,6.07499561498003,0.480829069645148,1
"MT0014",21.7080921309521,28.9718781194292,100.722576980775,43.94517596079,1.47735477823562,6.12632550400609,0.0743077490974726,0.709777792396407
"MT0015",108.54046065476,86.9156343582877,60.4335461884651,21.972587980395,-1.18310828269686,6.50025155235615,0.052354134051188,0.623240203312085
"MT0016",43.4161842619041,38.6291708259056,0,65.9177639411851,-0.346019134760823,5.83658897345545,0.82498199676721,1
"MT0017",97.6864145892843,115.887512477717,90.6503192826977,87.8903519215801,-0.26120059134921,6.89499035386566,0.627343983670237,1
"MT0018",151.956644916664,96.5729270647641,90.6503192826977,164.794409852963,0.039693288286194,7.18737392043652,1,1
"MT0019",86.8323685238083,86.9156343582877,120.86709237693,153.808115862765,0.645514241560223,7.04875708123085,0.224402395058665,1
"MT0020",108.54046065476,86.9156343582877,40.2890307923101,43.94517596079,-1.18308994260158,6.50241854501358,0.052354134051188,0.623240203312085
"MT0021",195.372829178569,86.9156343582877,141.011607773085,120.849233892173,-0.0773195564906643,7.28554879977907,0.900608152760537,1
"MT0022",75.9783224583322,86.9156343582877,120.86709237693,65.9177639411851,0.206751441863623,6.76265393773953,0.865663321193869,1
"MT0023",531.848257208326,579.437562388585,302.167730942326,340.575113696123,-0.793716925136064,8.844822023971,0.00167980978622149,0.0693629321838647
"MT0024",10.854046065476,48.2864635323821,20.144515396155,0,-1.4295018906264,5.36800830825097,0.345135201105593,1
"MT0025",0,0,10.0722576980775,10.9862939901975,3.18792313759776,4.69578564395838,0.500018315564786,1
"MT0026",54.2702303273802,19.3145854129528,10.0722576980775,10.9862939901975,-1.65534116085839,5.46277087206659,0.1972722407585,1
"MT0027",75.9783224583322,86.9156343582877,30.2167730942326,32.9588819705925,-1.3394330600869,6.27769684841522,0.0525726430004752,0.623240203312085
"MT0028",75.9783224583322,19.3145854129528,20.144515396155,21.972587980395,-1.09456069841515,5.76939286234225,0.312157970303836,1
"MT0029",43.4161842619041,38.6291708259056,10.0722576980775,32.9588819705925,-0.918531445471381,5.69619258871759,0.387801535684105,1
"MT0030.1",10.854046065476,19.3145854129528,0,0,-3.68202728368998,4.83129738157588,0.250027473347021,1
"MT0032",0,9.65729270647641,20.144515396155,21.972587980395,1.80053024104037,5.07371192462584,0.375045786395983,1
"MT0033",0,0,10.0722576980775,10.9862939901975,3.18792313759776,4.69578564395838,0.500018315564786,1
"MT0034",0,19.3145854129528,10.0722576980775,21.972587980395,0.566938397828227,5.07303566518862,0.999999999999862,1
"MT0035",21.7080921309521,28.9718781194292,20.144515396155,10.9862939901975,-0.654196260945103,5.37171961649524,0.726602558694758,1
"MT0037",75.9783224583322,86.9156343582877,10.0722576980775,21.972587980395,-2.28358795133241,6.12553144512415,0.00443805864422463,0.1418249175437
"MT0039",10.854046065476,19.3145854129528,0,0,-3.68202728368998,4.83129738157588,0.250027473347021,1
"MT0040",65.1242763928562,67.6010489453349,30.2167730942326,43.94517596079,-0.830820256174598,6.18013046763284,0.263351942289618,1
"MT0041",32.5621381964281,77.2583416518113,90.6503192826977,43.94517596079,0.276089393766051,6.36799733463092,0.845858613088897,1
"MT0042",86.8323685238083,77.2583416518113,100.722576980775,65.9177639411851,0.0395446296730873,6.69426808531387,1,1
"MT0043",43.4161842619041,28.9718781194292,20.144515396155,43.94517596079,-0.175435880244577,5.76804543170034,1,1
"MT0044",54.2702303273802,86.9156343582877,30.2167730942326,54.9314699509875,-0.749243180116939,6.27800682244226,0.286474150968817,1
"MT0046",238.789013440473,144.859390597146,90.6503192826977,98.8766459117776,-0.993032454598927,7.35371091575503,0.0231232667003931,0.412514587980314
"MT0047",54.2702303273802,67.6010489453349,171.228380867318,120.849233892173,1.2448097394678,6.95778024900032,0.0181258979209217,0.368025827952415
"MT0048",32.5621381964281,48.2864635323821,10.0722576980775,10.9862939901975,-1.83711826018449,5.54071766765065,0.109439390656047,0.863436773267604
"MT0049",43.4161842619041,48.2864635323821,10.0722576980775,10.9862939901975,-2.00211823919531,5.61944476349712,0.0654828136821398,0.66294584099687
"MT0050",43.4161842619041,38.6291708259056,50.3612884903876,0,-0.622575884713864,5.76250560704777,0.616240086440136,1
"MT0051",173.664737047617,96.5729270647641,120.86709237693,120.849233892173,-0.13783736442555,7.21049670703727,0.786582305622434,1
"MT0052",347.329474095233,502.179220736773,433.107081017333,285.643643745135,-0.241101014043843,8.69421346246277,0.459540791008769,1
"MT0053",119.394506720236,222.117732248957,110.794834678853,109.862939901975,-0.644126052374678,7.3428802699059,0.168906283886976,0.996658109728886
"MT0054",21.7080921309521,19.3145854129528,30.2167730942326,32.9588819705925,0.59459164263548,5.54407344539785,0.753951313556068,1
"MT0055",21.7080921309521,9.65729270647641,20.144515396155,21.972587980395,0.424473491273014,5.28162132483229,0.999999999999875,1
"MT0056",195.372829178569,164.173976010099,251.806442451938,329.588819705925,0.688874067895809,7.99453294608758,0.0511942815790681,0.621332178443259
"MT0057",108.54046065476,38.6291708259056,70.5058038865426,43.94517596079,-0.309858868778949,6.42094852221002,0.712083906835545,1
"MT0058",32.5621381964281,19.3145854129528,70.5058038865426,21.972587980395,0.849453578516918,5.83188297129208,0.452264454184534,1
"MT0059",54.2702303273802,19.3145854129528,20.144515396155,32.9588819705925,-0.428419550384373,5.69851839971852,0.778651396214381,1
"MT0060",54.2702303273802,67.6010489453349,80.5780615846201,120.849233892173,0.691615033195633,6.66110649346622,0.28131580426135,1
"MT0061",32.5621381964281,67.6010489453349,80.5780615846201,54.9314699509875,0.409692991236832,6.32417002554253,0.677769305805739,1
"MT0062",130.248552785712,231.775024955434,181.300638565395,131.83552788237,-0.218114647910078,7.57476142950982,0.656111281673055,1
"MT0063",21.7080921309521,0,20.144515396155,10.9862939901975,0.566904559999229,5.07536069044064,0.999999999999862,1
"MT0064",227.934967374997,241.43231766191,231.661927055783,296.629937735333,0.160894782764094,8.07586261529627,0.632632260859982,1
"MT0065",32.5621381964281,0,50.3612884903876,0,0.665165485379756,5.37350379331863,0.802206329054038,1
"MT0066",97.6864145892843,57.9437562388585,70.5058038865426,76.9040579313826,-0.0583665373894954,6.58579905332631,1,1
"MT0066.1",32.5621381964281,28.9718781194292,30.2167730942326,32.9588819705925,0.0385754900197294,5.69574455142953,1,1
"MT0067",97.6864145892843,106.230219771241,70.5058038865426,98.8766459117776,-0.277838143379101,6.83295460258326,0.617952845051561,1
"MT0068",43.4161842619041,77.2583416518113,80.5780615846201,54.9314699509875,0.152614406914108,6.41415008923933,0.999999999999964,1
"MT0069",10.854046065476,0,0,32.9588819705925,1.42072314805258,4.9618469242152,0.663601908653753,1
"MT0070",119.394506720236,77.2583416518113,80.5780615846201,153.808115862765,0.24909875297711,6.99467158051815,0.76904733396722,1
"MT0071",43.4161842619041,67.6010489453349,40.2890307923101,10.9862939901975,-1.06075360504683,5.95353650299511,0.210247784607271,1
"MT0072",130.248552785712,212.460439542481,80.5780615846201,142.821821872568,-0.642631228012355,7.34668499061083,0.169960630850159,0.999781047341827
"MT0073",0,38.6291708259056,10.0722576980775,0,-1.70822852719262,5.06902115466979,0.459501446311325,1
"MT0074",10.854046065476,19.3145854129528,10.0722576980775,10.9862939901975,-0.494104146092218,5.07285481903431,0.999999999999862,1
"MT0075",21.7080921309521,28.9718781194292,20.144515396155,10.9862939901975,-0.654196260945103,5.37171961649524,0.726602558694758,1
"MT0076",0,19.3145854129528,20.144515396155,21.972587980395,0.954321107121358,5.17955512160271,0.687534337910457,1
"MT0078",54.2702303273802,67.6010489453349,30.2167730942326,32.9588819705925,-0.931874551942296,6.07173945938249,0.238040131573477,1
"MT0079",32.5621381964281,38.6291708259056,40.2890307923101,21.972587980395,-0.175441895428167,5.7639024991467,1,1
"MT0080",54.2702303273802,28.9718781194292,30.2167730942326,43.94517596079,-0.147540271574314,5.89954418663241,0.999999999999999,1
"MT0081",10.854046065476,38.6291708259056,10.0722576980775,65.9177639411851,0.528197805292908,5.69670081644721,0.806481265215554,1
"MT0082",21.7080921309521,0,30.2167730942326,10.9862939901975,0.950791833293937,5.18185375185576,0.693203580945249,1
"MT0083",65.1242763928562,28.9718781194292,30.2167730942326,43.94517596079,-0.312540248897546,5.961584572974,0.803676911790316,1
"MT0084",10.854046065476,0,10.0722576980775,21.972587980395,1.41313519866128,4.96049721739002,0.625027471837527,1
"MT0085",0,48.2864635323821,40.2890307923101,54.9314699509875,0.866604296050669,5.83054630565863,0.462498044793714,1
"MT0086",0,38.6291708259056,50.3612884903876,32.9588819705925,0.999834450962742,5.69190195081538,0.417936664602755,1
"MT0088",0,0,10.0722576980775,65.9177639411851,4.89710210043185,5.28525521776519,0.0353467044435597,0.516037108008903
"MT0089",32.5621381964281,9.65729270647641,30.2167730942326,32.9588819705925,0.594579312188333,5.54580857378552,0.753951313556068,1
"MT0090",32.5621381964281,67.6010489453349,60.4335461884651,32.9588819705925,-0.108938870200451,6.12384351142228,1,1
"MT0091",10.854046065476,38.6291708259056,20.144515396155,21.972587980395,-0.26592453613468,5.45833535913249,1,1
"MT0092",0,28.9718781194292,20.144515396155,21.972587980395,0.428681977263895,5.27804246531088,1,1
"MT0093",43.4161842619041,38.6291708259056,70.5058038865426,76.9040579313826,0.827718315814245,6.28211569146576,0.286474150968817,1
"MT0096",32.5621381964281,67.6010489453349,60.4335461884651,65.9177639411851,0.296464979393867,6.27831356723958,0.831879637811703,1
"MT0098",43.4161842619041,38.6291708259056,40.2890307923101,32.9588819705925,-0.147537115488864,5.89668758744847,0.999999999999999,1
"MT0100",10.854046065476,38.6291708259056,0,10.9862939901975,-2.02671894153991,5.17804014144198,0.241178310509256,1
"MT0101",75.9783224583322,38.6291708259056,141.011607773085,142.821821872568,1.31586255605864,6.90214485484945,0.0139179794733792,0.31188155222359
"MT0102",0,9.65729270647641,10.0722576980775,21.972587980395,1.41314753174724,4.95864663393279,0.625027471837527,1
"MT0103",21.7080921309521,0,30.2167730942326,32.9588819705925,1.51106862469639,5.37626747846258,0.289134610932418,1
"MT0106",0,19.3145854129528,0,10.9862939901975,-0.813535871831544,4.83148177930456,0.999999999999984,1
"MT0108",54.2702303273802,9.65729270647641,10.0722576980775,10.9862939901975,-1.45121828212212,5.37637983267571,0.337089066125234,1
"MT0109",32.5621381964281,9.65729270647641,0,10.9862939901975,-1.73118599775877,5.07583742472437,0.378286338304704,1
"MT0110",151.956644916664,125.544805184193,191.372896263473,175.78070384316,0.410450192682127,7.50465758666647,0.393325514382259,1
"MT0111",21.7080921309521,9.65729270647641,80.5780615846201,87.8903519215801,2.3602540119723,6.13214245918647,0.00443805864422463,0.1418249175437
"MT0112",141.102598851188,57.9437562388585,120.86709237693,153.808115862765,0.48414516829622,7.10905975063307,0.406019474092092,1
"MT0113",43.4161842619041,38.6291708259056,10.0722576980775,21.972587980395,-1.30592332757596,5.6213309680315,0.226656929253077,1
"MT0115",0,9.65729270647641,20.144515396155,10.9862939901975,1.41313835829558,4.95729914612129,0.625027471837527,1
"MT0116",455.869934749993,299.376073900769,100.722576980775,197.753291823555,-1.33764962864713,8.14662178944039,0.00053744483790449,0.0282158539899857
"MT0117",141.102598851188,154.516683303623,80.5780615846201,186.766997833358,-0.167403226865827,7.33071146175413,0.807576152451554,1
"MT0118",0,9.65729270647641,10.0722576980775,10.9862939901975,0.881940272383622,4.83217399791538,0.999999999999731,1
"MT0120",162.81069098214,222.117732248957,130.939350075008,109.862939901975,-0.6772791209588,7.47576695502735,0.109721081119992,0.863436773267604
"MT0121",10.854046065476,19.3145854129528,20.144515396155,32.9588819705925,0.729570460315987,5.37384133452301,0.726602558694758,1
"MT0122",32.5621381964281,38.6291708259056,50.3612884903876,54.9314699509875,0.538577635667379,6.01760330997361,0.629167500048367,1
"MT0123",0,9.65729270647641,50.3612884903876,54.9314699509875,3.07131278267352,5.62265652806317,0.0117344951272021,0.283712299950445
"MT0124",21.7080921309521,0,40.2890307923101,54.9314699509875,2.07693173786597,5.6254597152995,0.0654828136821398,0.66294584099687
"MT0125",54.2702303273802,86.9156343582877,110.794834678853,76.9040579313826,0.396519225565246,6.69210489666698,0.597888972614526,1
"MT0125.1",10.854046065476,28.9718781194292,20.144515396155,0,-0.880304181258624,5.17738991495671,0.696976374895191,1
"MT0126",32.5621381964281,28.9718781194292,40.2890307923101,21.972587980395,0.0385663186049643,5.69450210499057,1,1
"MT0127",21.7080921309521,38.6291708259056,40.2890307923101,32.9588819705925,0.252819139409513,5.76407016682837,1,1
"MT0128",54.2702303273802,164.173976010099,100.722576980775,164.794409852963,0.237576648497883,7.15135494903249,0.707365351815224,1
"MT0129",0,28.9718781194292,20.144515396155,21.972587980395,0.428716336472357,5.27804246531088,1,1
"MT0130",21.7080921309521,9.65729270647641,30.2167730942326,21.972587980395,0.729548956911426,5.3743192415111,0.726602558694758,1
"MT0131",21.7080921309521,0,10.0722576980775,0,-0.823648176295933,4.83385983077712,0.999999999999999,1
"MT0132",10.854046065476,19.3145854129528,20.144515396155,0,-0.494113320184169,5.07152227771511,0.999999999999862,1
"MT0133",97.6864145892843,144.859390597146,130.939350075008,318.602525715728,0.858005765682879,7.59004702115041,0.066567010690909,0.668398263084947
"MT0134",54.2702303273802,67.6010489453349,90.6503192826977,65.9177639411851,0.355469092207878,6.50098786648418,0.701250278397836,1
"MT0135",32.5621381964281,96.5729270647641,50.3612884903876,98.8766459117776,0.155368744179796,6.50075504255347,1,1
"MT0136",10.854046065476,9.65729270647641,30.2167730942326,98.8766459117776,2.49280069827167,5.83892859925141,0.0267049538926041,0.445018031213893
"MT0137",325.621381964281,453.892757204391,372.673534828868,406.492877637308,-0.0129938145241072,8.68257921661502,1,1
